Title,Date,Volume,Issue,StartPage,EndPage,DOI
"Richard Goldschmidt's ""Heresies"" and the Evolutionary Synthesis",1995,28,3,431,461,10.2307/4331363
Mitochondrial Structure and the Practice of Cell Biology in the 1950s,1995,28,3,381,429,10.2307/4331362
The History of Scientific Illustration,1995,28,3,545,550,10.2307/4331367
Biology and Imperialism,1995,28,3,533,543,10.2307/4331366
A Female Contribution to Early Genetics: Tine Tammes and Mendel's Laws for Continuous Characters,1995,28,3,495,531,10.2307/4331365
The Origins of T. H. Huxley's Saltationism: History in Darwin's Shadow,1995,28,3,463,494,10.2307/4331364
"Erratum: Pictures, Preparations, and Living Processes: The Production of Immediate Visual Perception (Anschauung) in Late-19th-Century Physiology",2005,38,2,403,421,10.2307/4331960
Are Animals Just Noisy Machines?: Louis Boutan and the Co-Invention of Animal and Child Psychology in the French Third Republic,2005,38,3,425,460,10.2307/4331965
Passing the Baton,2005,38,3,423,424,10.2307/4331964
"Place, Practice and Primatology: Clarence Ray Carpenter, Primate Communication and the Development of Field Methodology, 1931-1945",2005,38,3,495,533,10.2307/4331967
"Primate Language and the Playback Experiment, in 1890 and 1980",2005,38,3,461,493,10.2307/4331966
The Instinct Concept of the Early Konrad Lorenz,2005,38,3,571,608,10.2307/4331969
"The Bee Battles: Karl von Frisch, Adrian Wenner and the Honey Bee Dance Language Controversy",2005,38,3,535,570,10.2307/4331968
"John Locke, John Ray, and the Problem of the Natural System",1972,5,1,1,53,10.2307/4330568
Lamarck Revisited,1972,5,1,55,94,10.2307/4330569
Sir William Lawrence (1783-1867): A Study of Pre-Darwinian Ideas on Heredity and Variation,1971,4,2,319,361,10.2307/4330564
Fontenelle and the Problem of Generation in the Eighteenth Century,1971,4,2,363,372,10.2307/4330565
"Concepts of Nerve Fiber Development, 1839-1930",1971,4,2,275,305,10.2307/4330562
New Formation of Organs in Plants: The Foundation of Plant Morphogenesis,1971,4,2,307,317,10.2307/4330563
The Iatromechanical Background of Lagrange's Theory of Animal Heat,1971,4,2,245,248,10.2307/4330560
Measuring Man's Needs,1971,4,2,249,273,10.2307/4330561
Diffusion Theory in Biology: A Relic of Mechanistic Materialism,2000,33,1,71,111,10.2307/4331565
"Building on Bedrock: William Steel Creighton and the Reformation of Ant Systematics, 1925-1970",2000,33,1,27,70,10.2307/4331564
From Bacteriology to Biochemistry: Albert Jan Kluyver and Chester Werkman at Iowa State,2000,33,1,141,180,10.2307/4331567
Sex Cells: Gender and the Language of Bacterial Genetics,2000,33,1,113,139,10.2307/4331566
Review: Guide to the Ewan Papers|Douglas Holland;Martha Riley;Mary Stiffler,1999,32,3,581,582,10.2307/4331560
"Natural History and the ""Encyclopédie""",2000,33,1,1,25,10.2307/4331563
Review: Governing Molecules: The Discursive Politics of Genetic Engineering in Europe and the United States|Herbert Gottweis,2000,33,1,189,191,10.2307/4331569
Recent Introductory Philosophy of Biology Texts,2000,33,1,181,187,10.2307/4331568
"Review: Darwin, His Daughter, and Human Evolution|Randal Keynes",2002,35,3,606,608,10.2307/4331767
Review: Darwinismus und/als Ideologie|Uwe Hoßfeld;Rainer Brömer,2003,36,2,417,419,10.2307/4331814
Review: Captivating Life: A Naturalist in the Age of Genetics|John C. Avise,2002,35,3,602,604,10.2307/4331765
Review: Homage to Gaia: The Life of an Independent Scientist|James Lovelock,2002,35,3,600,602,10.2307/4331764
Review: Hepatitis B: The Hunt for a Killer Virus|Baruch S. Blumberg,2003,36,2,413,414,10.2307/4331811
"Review: Lords of the Harvest: Biotech, Big Money, and the Future of Food|Daniel Charles",2003,36,2,411,413,10.2307/4331810
The Cultural Politics of the Sociobiology Debate,2002,35,3,569,593,10.2307/4331761
Review: Candid Science II: Conversations with Famous Biomedical Scientists|István Hargittai;Magdolna Hargittai,2003,36,2,414,415,10.2307/4331812
Review: Linnaeus: The Compleat Naturalist|Wilfred Blunt,2003,36,2,426,428,10.2307/4331819
Review: Animal Attractions: Nature on Display in American Zoos|Elizabeth Hanson,2003,36,2,424,426,10.2307/4331818
"Review: Naturalists and Society: The Culture of Natural History in Britain, 1700-1900|David Elliston Allen",2002,35,3,610,611,10.2307/4331769
Review: Die Entdeckung der Evolution: Eine revolutionäre Theorie und ihre Geschichte|Thomas Junker;Uwe Hossfeld,2002,35,3,608,609,10.2307/4331768
The Cambrian Explosion (Of Books on the Origin of Life),2000,33,2,371,384,10.2307/4331589
The Politics of Anti-Creationism: The Committees of Correspondence,2000,33,2,349,370,10.2307/4331588
Marvelling at the Marvel: The Supposed Conversion of A. D. Darbishire to Mendelism,2000,33,2,315,347,10.2307/4331587
"From Survey to Ecology: The Role of the British Vegetation Committee, 1904-1913",2000,33,2,291,314,10.2307/4331586
T. H. Huxley's Criticism of German Cell Theory: An Epigenetic and Physiological Interpretation of Cell Structure,2000,33,2,247,289,10.2307/4331585
"Sex, Death, and Evolution in Proto- and Metazoa, 1876-1913",2000,33,2,221,246,10.2307/4331584
Review: Joseph Leidy: The Last Man Who Knew Everything|Leonard Warren,2000,33,1,218,220,10.2307/4331581
Review: Louis Jurine: Chirurgien et Naturaliste (1751-1819)|Vincent Barras;Marc Ratcliff;René Sigerist;Louis Jurine,2000,33,1,217,218,10.2307/4331580
"Review: Reflections on Biochemistry, in Honour of Severo Ochoa|A. Kornberg;B. L. Horecker;L. Cornudella;J. Oro",1978,11,1,,,10.2307/4330698
Review: The Development of Microbiology|Patrick Collard,1978,11,1,,,10.2307/4330699
"Science Corrupted: Victorian Biologists Consider ""The Woman Question""",1978,11,1,1,55,10.2307/4330691
"Generational Factors in the Origin of ""Romantische Naturphilosophie""",1978,11,1,57,100,10.2307/4330692
Charles Lyell versus the Theory of Central Heat: A Reappraisal of Lyell's Place in the History of Geology,1978,11,1,101,128,10.2307/4330693
"Cell Lineage, Ancestral Reminiscence, and the Biogenetic Law",1978,11,1,129,158,10.2307/4330694
Drosophila Genetics: A Reductionist Research Program,1978,11,1,159,210,10.2307/4330695
"The J. H. B. Archive Report: The A. V. Hill Papers at Churchill College, Cambridge",1978,11,1,211,214,10.2307/4330696
Review: Konrad Lorenz|Alec Nisbett,1978,11,1,,,10.2307/4330697
Review: Marine Science Journals and Serials: An Analytical Guide|Judith B. Barnett,1989,22,2,,,10.2307/4331102
Review: Beyond the Gene: Cytoplasmic Inheritance and the Struggle for Authority in Genetics|Jan Sapp,1989,22,2,369,370,10.2307/4331101
"Review: A Yankee Botanist of the Carolinas: The Reverend Moses Ashley Curtis, D.D. (1808-1872)|Edmund Berkeley;Dorothy Smith Berkeley",1989,22,2,367,369,10.2307/4331100
Darwin and Political Economy: The Connection Reconsidered,1989,22,3,437,459,10.2307/4331107
"The ""Moral Anatomy"" of Robert Knox: The Interplay between Biological and Social Thought in Victorian Scientific Naturalism",1989,22,3,373,436,10.2307/4331106
"Hans Spemann on Vitalism in Biology: Translation of a Portion of Spemann's ""Autobiography""",1999,32,2,231,243,10.2307/4331523
"Darwin on Man in the ""Origin of Species"": A Reply to Carl Bajema",1989,22,3,497,500,10.2307/4331109
The History of Resistant Rickets: A Model for Understanding the Growth of Biomedical Knowledge,1989,22,3,461,495,10.2307/4331108
Review: Lavoisier and the Chemistry of Life: An Exploration of Scientific Creativity|Frederic L. Holmes,1986,19,1,156,158,10.2307/4330962
"Review: Georges Cuvier: Vocation, Science and Authority in Post-Revolutionary France|Dorinda Outram",1986,19,1,158,159,10.2307/4330963
The Lessened Locus of Feelings: A Transformation in French Physiology in the Early Nineteenth Century,1979,12,2,231,271,10.2307/4330744
Review: No Magic Bullet: A Social History of Venereal Disease in the United States since 1880|Allan Brandt,1986,19,1,155,156,10.2307/4330961
Review: Paracelsus: An Introduction to Philosophical Medicine in the Era of the Renaissance|Walter Pagel The Smiling Spleen: Paracelsianism in Storm and Stress|Walter Pagel,1986,19,1,162,166,10.2307/4330967
Review: With a Daughter's Eye: A Memoir of Margaret Mead and Gregory Bateson|Mary Catherine Bateson,1986,19,1,160,161,10.2307/4330965
Review: The Poetics of Natural History from John Bartram to William James|Christoph Irmscher John James Audubon: Writings and Drawings|Christoph Irmscher;John James Audubon,2000,33,3,589,591,10.2307/4331617
Review: Thoreau's Country: Journey through a Transformed Landscape|David R. Foster,2000,33,3,587,589,10.2307/4331616
"Review: Wissenschaftspopularisierung im 19. Jahrhundert: Bürgerliche Kultur, Naturwissenschaftliche Bildung und die Deutsche Öffentlichkeit 1848-1914|Andreas Daum",2000,33,3,585,587,10.2307/4331615
Sociobiology: Twenty-Five Years Later,2000,33,3,577,584,10.2307/4331614
Ephestia: The Experimental Design of Alfred Kühn's Physiological Developmental Genetics,2000,33,3,535,576,10.2307/4331613
The Specimen Dealer: Entrepreneurial Natural History in America's Gilded Age,2000,33,3,493,534,10.2307/4331612
Last Judgment: The Visionary Biology of J. B. S. Haldane,2000,33,3,457,491,10.2307/4331611
Darwin on Variation and Heredity,2000,33,3,425,455,10.2307/4331610
What Does It Mean to be Central? A Botanical Geography of Paris 1830–1848,2015,49,,191,230,10.1007/s10739-015-9416-5
Uncertain Legislator: Georges Cuvier's Laws of Nature in Their Intellectual Context,1986,19,3,323,368,10.2307/4330989
Review: Single Lens: The Story of the Simple Microscope|Brian J. Ford,1986,19,2,320,321,10.2307/4330984
Review: Science and the Enlightenment|Thomas L. Hankins,1986,19,2,321,322,10.2307/4330985
Review: The Background of Ecology: Concept and Theory|Robert P. McIntosh,1986,19,2,314,316,10.2307/4330980
